subj,meanFD,medianFD,maxFD,total_outliers,perc_out,time_lost_min
sub-290,0.152735300604315,0.143515299999998,0.60280715,1,0.20746887966805,0.0333333333333333
sub-193,0.25061501379668,0.213026099999997,1.2707495,39,8.09128630705394,1.3
sub-296,0.134459261897095,0.113194145,0.865965849999995,3,0.622406639004149,0.1
sub-299,0.235962144614938,0.24190972,0.74528293,4,0.829875518672199,0.133333333333333
sub-265,0.218311900421992,0.2235673125,0.5470391,2,0.4149377593361,0.0666666666666667
sub-283,0.239748621151452,0.22568,0.63351336,10,2.0746887966805,0.333333333333333
sub-167,0.191053337246473,0.151358325,4.856470325,16,3.3195020746888,0.533333333333333
sub-305,0.283091938934855,0.233708130000002,2.7602646,51,10.5809128630705,1.7
sub-203,0.393038161257261,0.34345175,2.519411,128,26.5560165975104,4.26666666666667
sub-94,0.197742866877593,0.169242525,1.6933938,14,2.9045643153527,0.466666666666667
sub-256,0.215692493604979,0.187230167500002,3.319051,11,2.28215767634855,0.366666666666667
sub-239,0.243216248310166,0.255787275,0.489415825,0,0,0
sub-302,0.265757174390871,0.2501988,1.7708881,15,3.11203319502075,0.5
sub-27,0.247262918543153,0.210216,2.57618652,27,5.60165975103735,0.9
sub-266,0.190236550262863,0.178651,1.0199385,4,0.829875518672199,0.133333333333333
sub-281,0.21745033128029,0.1884882425,1.771151385,14,2.9045643153527,0.466666666666667
sub-10,0.271746905352697,0.27201897775,0.98167029,13,2.69709543568465,0.433333333333333
sub-249,0.249997980692946,0.237873779999997,0.678984,16,3.3195020746888,0.533333333333333
sub-304,0.17767815723195,0.16431375,0.68264943,4,0.829875518672199,0.133333333333333
sub-272,0.225366919559626,0.20744039,0.88548995,11,2.28215767634855,0.366666666666667
sub-166,0.310368723491701,0.300053599999997,0.738976915,53,10.9958506224066,1.76666666666667
sub-342,0.164826968348548,0.1251513,5.31524787,11,2.28215767634855,0.366666666666667
sub-267,0.217279409624896,0.2082919295,0.62259435,6,1.2448132780083,0.2
sub-174,0.212562514512033,0.228373173,0.4439501,0,0,0
sub-258,0.272435206052697,0.2600779575,1.75482475,19,3.94190871369295,0.633333333333333
sub-257,0.173057011360996,0.170170489999998,0.96847723,2,0.4149377593361,0.0666666666666667
sub-345,0.221695346085062,0.223981725,0.5456145,1,0.20746887966805,0.0333333333333333
sub-69,0.350496302309129,0.32824025,1.708304,62,12.8630705394191,2.06666666666667
sub-315,0.339614453500365,0.30845762,2.1759187,75,15.5601659751037,2.5
sub-89,0.155147097048133,0.1376811275,0.5991304,2,0.4149377593361,0.0666666666666667
sub-02,0.213967914018672,0.175307955,1.04683192,19,3.94190871369295,0.633333333333333
sub-326,0.332079028682987,0.301464192500003,1.28056182,94,19.5020746887967,3.13333333333333
sub-275,0.229936596251037,0.208511125,0.716299,17,3.52697095435685,0.566666666666667
sub-337,0.238958083451432,0.1915440375,1.95819645,37,7.67634854771784,1.23333333333333
sub-56,0.303488708760996,0.218728350000002,8.1512507,37,7.67634854771784,1.23333333333333
sub-268,0.296567223734232,0.28125273,1.33856080000001,20,4.149377593361,0.666666666666667
sub-293,0.314560555091494,0.32011318,1.0106325,42,8.71369294605809,1.4
sub-292,0.181993385906431,0.164995755000002,0.554474101,2,0.4149377593361,0.0666666666666667
sub-79,0.321305541221992,0.27968705,1.50784958000001,58,12.0331950207469,1.93333333333333
sub-180,0.326829786920954,0.29383455,2.4353684,39,8.09128630705394,1.3
sub-67,0.295165240431535,0.289299,0.70299775,25,5.18672199170125,0.833333333333333
sub-83,0.302476166039419,0.2726814,1.6082322,43,8.92116182572614,1.43333333333333
sub-28,0.278866869102904,0.203924592999997,2.60886835,43,8.92116182572614,1.43333333333333
sub-117,0.34789329753527,0.299421800000005,1.962074375,81,16.804979253112,2.7
sub-274,0.249682224086722,0.188715835,1.31036061,44,9.12863070539419,1.46666666666667
sub-74,0.303165114205809,0.320475945000002,0.678868915,37,7.67634854771784,1.23333333333333
sub-327,0.362835890098568,0.285655915,1.4179466,117,24.2738589211618,3.9
sub-143,0.402090616148963,0.37344956,1.52191685,134,27.8008298755187,4.46666666666667
